127.0.0.1 - - [27/Sep/2021:21:54:53 +0900] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [27/Sep/2021:21:54:54 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [27/Sep/2021:21:54:59 +0900] "POST /JSPBasic/Session/session_login_ok.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:12:36 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:12:46 +0900] "POST /JSPBasic/Session/session_login_ok.jsp HTTP/1.1" 500 2949
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:14:25 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:14:33 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:14:43 +0900] "POST /JSPBasic/Session/session_login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:14:43 +0900] "GET /JSPBasic/Session/session_login_welcome.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:14:52 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:14:53 +0900] "GET /JSPBasic/Session/session_login_welcome.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:20 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:29 +0900] "POST /JSPBasic/Session/session_login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:29 +0900] "GET /JSPBasic/Session/session_login_welcome.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:34 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:37 +0900] "GET /JSPBasic/Session/session_login_welcome.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:38 +0900] "GET /JSPBasic/JspObjRequest/req_album.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:38 +0900] "GET /JSPBasic/JspObjRequest/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:38 +0900] "GET /JSPBasic/JspObjRequest/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:16:42 +0900] "GET /JSPBasic/JspObjRequest/req_album_result.jsp?group=on HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:17:02 +0900] "GET /JSPBasic/Session/session_logout.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [27/Sep/2021:22:17:22 +0900] "GET /JSPBasic/Session/session_login.jsp HTTP/1.1" 200 829
